source_id,ra,ra_error,dec,dec_error,pmra,pmdec,parallax,parallax_error,phot_g_mean_mag,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,U,V,W,T,Prograde
6.90723688154759e+18,310.192179029404,0.06061682477593422,-6.797524671240622,0.036535896360874176,38.60213016689704,-30.271398671331138,1.9082157710209107,0.07479482889175415,8.198074340820312,0.9076719284057617,-173.31532287597656,0.4897243082523346,137.72343508959676,-137.62820661923988,-20.060606967424775,139.1767671875585,0
6.907237289568244e+18,310.2728799776344,0.014783061109483242,-6.762024417130602,0.00890020839869976,2.7938367838356815,-4.207378363817353,0.4039158687733695,0.018119461834430695,12.993182182312012,1.2101020812988281,-48.55788803100586,1.0251559019088745,24.519600165344414,-51.6428175065111,-17.02650045183679,29.85150766552263,0
6.907237328224194e+18,310.22855886942267,0.014837116934359074,-6.782252694602841,0.009235608391463757,-8.736620831414353,-3.85880011777825,2.453819332731216,0.018326055258512497,8.47871208190918,1.1315183639526367,23.03304672241211,0.20101355016231537,-37.51127733580287,18.78680586575083,6.21633942788888,38.022872106749695,1
6.907246570993736e+18,310.11464252936713,0.01364713441580534,-6.843028851706422,0.008213714696466923,3.2116532286940753,-12.933442397097815,0.7350572421664369,0.017919227480888367,8.954153060913086,1.8830814361572266,-43.58455276489258,0.34748443961143494,0.13187746142207857,-77.75499607790626,-23.603603493381364,23.60397190172866,0
6.477294574860385e+18,316.62599694067035,0.012232054956257343,-50.0120822490323,0.010515952482819557,5.1960151216689505,-26.586716864101184,1.7706254211040156,0.01658489741384983,10.585119247436523,1.289022445678711,-9.606913566589355,3.5199596881866455,16.280904225111005,-55.41927637991727,8.72762299590438,18.472662113130212,0
6.477295296414847e+18,316.64613723994984,0.01111605390906334,-49.96518470993648,0.009009459987282753,193.953457454434,-274.0404188035844,3.621226952307976,0.014372136443853378,8.885178565979004,0.913548469543457,-44.6414909362793,0.2070939540863037,237.0144731486193,-331.10930196751576,-120.79963391596822,266.02332987192966,0
6.477295846170651e+18,316.7561415272439,0.011525927111506462,-49.9558031649904,0.009362307377159595,4.22470195703825,-6.354581920574107,0.889337914662108,0.014631505124270916,12.863130569458008,1.1329450607299805,53.39716720581055,1.3994663953781128,-28.35195361155318,-27.50848740531473,-42.903464195718755,51.42509614560759,0
1.7879895638618086e+18,317.95595948579654,0.010171722620725632,17.64833715484109,0.008547714911401272,-5.988849413209364,-10.158725974549725,0.1758726514331396,0.013153946958482265,12.811378479003906,1.490570068359375,-23.93943214416504,0.7763306498527527,-281.6585345175715,-147.01820816945718,-29.06074129152288,283.153768738823,0
1.787990354136083e+18,317.95871094186936,0.009142047725617886,17.69255581990848,0.0077181351371109486,-29.465024442044747,-18.27485462748366,2.527116181861839,0.01168862171471119,12.178238868713379,0.8679208755493164,11.97256851196289,0.601772129535675,-72.30139029571842,6.182637157337577,22.334717225195973,75.67252230647047,1
1.7879905259344916e+18,317.99539741547386,0.016801176592707634,17.72375012742028,0.01273086853325367,-122.13342101045173,-899.40401696554,29.877493813709016,0.020460989326238632,7.231156349182129,0.7198123931884766,-44.147796630859375,0.19381029903888702,-94.8148264514074,-97.2737681433014,-48.22820915611254,106.37580304475375,0
1.7879950957796552e+18,318.0701505071563,0.00977662019431591,17.685691703756,0.008245094679296017,13.413829888428065,7.395786204118559,0.9673737345643462,0.012873617000877857,13.196514129638672,1.0485897064208984,1.011162281036377,0.9554232358932495,58.93224655595159,32.672371666716806,-20.26731680992428,62.31993112003019,1
1.78799546944296e+18,318.08749660625693,0.015341142192482948,17.723827250144275,0.013419575057923794,-7.515626185858669,-10.048987019543587,0.6804425602959021,0.02087412402033806,12.954313278198242,1.3462800979614258,9.85720443725586,1.3780317306518555,-91.92441492481692,-13.728986458375667,-0.2456786683924026,91.92474322660905,0
1.7879959204133878e+18,318.0863121116845,0.014172381721436977,17.7457699633694,0.01089861523360014,-11.162474408233091,-12.748029036312968,0.7928220947243623,0.018420623615384102,12.795356750488281,0.9085254669189453,20.906402587890625,2.0814273357391357,-109.78058533749271,-7.34099949883076,2.6671278459168217,109.81297959708127,0
1.7880384921292943e+18,317.9124387742796,0.00996537134051323,17.7522333149266,0.008774199523031712,7.260662110675148,-1.208150501896536,0.7154854146392228,0.013110428117215633,11.614806175231934,1.4186506271362305,-25.618427276611328,0.26445651054382324,28.94428121657304,-12.696627432871809,-24.3721931644478,37.838805673398554,0
1.7880386939919785e+18,317.92988790725,0.010665114969015121,17.787615150240548,0.008481724187731743,-26.253015818718296,-46.981337890370725,5.006587470626346,0.013712293468415737,13.192536354064941,1.3849782943725586,-6.026116371154785,1.8343371152877808,-51.190876904852814,-14.43703021774426,0.4276786272976185,51.192663412798126,0
6.627657909558559e+18,339.49530675212236,0.013723229058086872,-22.64473102447778,0.011456317268311977,174.20824267494498,-54.963507275992065,2.0044858006636006,0.017370108515024185,8.940890312194824,0.7616043090820312,-91.60736083984375,0.32309669256210327,329.7509729284371,-233.49387809134603,-133.73714907937966,355.83890904611746,0
6.627660928920268e+18,339.4757524022309,0.015223344787955284,-22.622761124604228,0.016968529671430588,19.3828894940633,-2.9335505210203383,1.7132411591456822,0.019354142248630524,12.431144714355469,0.9359588623046875,-30.399776458740234,1.236015796661377,46.38158236849118,-15.826530924803857,5.315167204002457,46.68513880681555,0
2.4117233719240663e+18,349.2991538624171,0.019276708364486694,-13.906620705214694,0.013521065935492516,30.919118071008455,5.143396248940638,3.5500702977297913,0.018148882314562798,12.569697380065918,1.0788631439208984,48.702388763427734,11.090503692626953,19.620626244981562,23.153366856719643,-50.408216769442156,54.09211857674211,1
2.411723612442238e+18,349.2550556730051,0.01812056638300419,-13.898282783278667,0.01298524159938097,-51.641750339723494,-24.211059593036858,3.5994493535875054,0.017620304599404335,12.821333885192871,0.9493417739868164,-14.188237190246582,1.7215310335159302,-78.55101950223893,4.081453299814514,35.64576232285894,86.26055318869031,1
6.526121309270357e+18,350.42461819589795,0.011284220963716507,-49.42240670063075,0.01262713223695755,48.934796978401884,-36.829297380624354,7.26732745279102,0.01980956830084324,11.359138488769531,1.0206871032714844,-36.10117721557617,0.793815553188324,28.793913512331763,-12.608023513939445,35.35371750747383,45.595776086759436,0
